,SEASON_ID,TEAM_ABBREVIATION,MIN,PTS,REB,AST
0,2008-09,OKC,2668.0,1256,399,435
1,2009-10,OKC,2813.0,1322,401,652
2,2010-11,OKC,2847.0,1793,379,670
3,2011-12,OKC,2331.0,1558,301,362
4,2012-13,OKC,2861.0,1903,428,607
5,2013-14,OKC,1412.0,1002,263,319
6,2014-15,OKC,2302.0,1886,488,574
7,2015-16,OKC,2750.0,1878,626,834
8,2016-17,OKC,2802.0,2558,864,840
9,2017-18,OKC,2914.0,2028,804,820
10,2018-19,OKC,2629.0,1675,807,784
11,2019-20,HOU,2049.0,1553,451,401
12,2020-21,WAS,2369.0,1445,750,763
13,2021-22,LAL,2678.0,1441,580,550
14,2022-23,LAL,1491.0,827,321,391
15,2022-23,LAC,635.0,332,102,160
16,2022-23,LAC,2126.0,1159,423,551
17,2023-24,LAC,1529.0,754,343,306
18,2024-25,DEN,1880.0,878,335,417
